                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.43407,                 2.4604,                 1.2158,                0.82826,                0.36412,                0.49913,                0.43662,                0.53273,                 3.7098,                 1.1496,              0.0033069,              0.0033069,              0.0033069
                      1,                 0.2547,                 1.0242,                 1.0415,                0.71685,                0.53249,                  0.583,                 0.5193,                0.52177,                 4.0339,                 1.0704,              0.0066293,              0.0066293,              0.0066293
                      2,                 0.3311,                0.88585,                 1.0717,                0.60039,                 0.5036,                0.56616,                0.50049,                0.48247,                 3.7689,                 1.1994,              0.0099406,              0.0099406,              0.0099406
                      3,                 0.3353,                0.89334,                 1.0681,                0.36634,                0.47937,                0.44649,                0.38694,                0.49775,                 4.7123,                 1.1257,              0.0099505,              0.0099505,              0.0099505
                      4,                0.33302,                0.84385,                 1.0626,                0.51449,                0.55137,                0.60569,                0.54286,                 0.5077,                 4.3465,                 1.1533,              0.0099505,              0.0099505,              0.0099505
                      5,                 0.3147,                0.81178,                 1.0495,                0.52851,                0.57321,                0.57238,                0.49844,                0.45997,                 4.3237,                 1.0859,               0.009934,               0.009934,               0.009934
                      6,                 0.3126,                0.74596,                 1.0477,                0.53802,                0.55605,                0.56266,                0.48559,                0.54652,                 4.1367,                  1.206,              0.0099175,              0.0099175,              0.0099175
                      7,                0.29667,                0.72377,                 1.0445,                0.48979,                0.60407,                0.58502,                0.53113,                0.47325,                 4.2012,                 1.1231,               0.009901,               0.009901,               0.009901
                      8,                0.29204,                0.68987,                 1.0441,                0.49166,                0.62517,                0.61029,                0.55885,                0.43371,                 4.2549,                 1.0326,              0.0098845,              0.0098845,              0.0098845
                      9,                0.27578,                 0.6704,                 1.0377,                0.54757,                0.53374,                0.62138,                0.55685,                0.49318,                   4.19,                 1.1593,               0.009868,               0.009868,               0.009868
                     10,                0.27786,                0.65836,                 1.0424,                0.51905,                0.60617,                0.63404,                0.57206,                0.45626,                 4.1076,                 1.0822,              0.0098515,              0.0098515,              0.0098515
                     11,                0.27103,                0.62903,                 1.0273,                0.45128,                0.55994,                0.56338,                0.48136,                 0.5109,                 4.4417,                 1.2097,               0.009835,               0.009835,               0.009835
                     12,                0.27039,                0.60717,                 1.0329,                0.53194,                0.52702,                0.55706,                0.49802,                 0.5258,                  4.533,                 1.1989,              0.0098185,              0.0098185,              0.0098185
                     13,                0.26754,                0.59716,                 1.0273,                0.57376,                0.58936,                0.64922,                0.59132,                0.38979,                 4.2691,                 1.0148,               0.009802,               0.009802,               0.009802
